status;funding_rounds;founded_year
acquired;1;2012
operating;2;
operating;1;2012
operating;1;2011
operating;2;2014
;1;2011
closed;1;
operating;1;2007
operating;1;2010
operating;1;
operating;1;2012
operating;1;
operating;1;1986
operating;1;1984
operating;1;2013
operating;2;2013
operating;4;2001
operating;1;2008
acquired;1;2009
operating;1;
acquired;2;2010
operating;6;2008
operating;4;2010
operating;3;2009
operating;2;
operating;2;
operating;1;2014
acquired;2;2011
operating;1;2000
operating;1;2014
closed;1;2009
operating;2;2013
operating;1;2009
operating;1;
operating;1;2012
operating;1;2010
operating;1;
operating;1;2011
operating;1;
operating;1;
operating;1;2013
operating;1;2013
operating;1;2011
operating;2;2012
operating;6;2011
operating;2;2012
operating;1;2008
operating;1;2013
operating;1;2008
operating;1;2010
acquired;1;2012
operating;8;2007
operating;1;
operating;1;2010
operating;2;2010
operating;1;2010
operating;2;
operating;3;2011
operating;1;2011
operating;1;2006
operating;1;2009
operating;1;2013
acquired;1;1990
operating;3;2004
operating;1;
operating;3;2005
closed;1;2006
;1;1991
operating;1;2009
closed;1;2006
operating;1;2012
operating;1;2012
operating;1;
operating;2;2009
closed;1;2008
operating;1;2011
operating;1;2010
operating;3;2013
operating;2;
operating;1;2013
operating;1;2002
operating;1;2011
operating;1;2012
operating;1;
operating;1;2009
operating;1;2011
operating;2;2013
operating;1;2011
operating;1;2012
;1;2007
operating;4;2001
operating;1;2009
operating;1;2014
operating;2;2011
operating;1;2000
operating;1;2011
operating;1;2010
operating;1;2000
operating;5;2008
operating;1;2006
operating;3;2012
operating;2;2007
operating;1;2004
operating;1;2012
operating;1;2013
operating;1;
operating;1;
operating;2;2009
operating;6;1998
operating;1;2010
operating;2;2005
operating;1;2009
operating;6;2006
operating;1;2011
operating;1;2014
operating;2;
operating;2;
closed;3;
operating;1;
operating;1;2007
operating;1;2007
;1;2006
operating;1;2010
closed;1;2010
operating;1;2010
operating;2;
operating;1;2001
operating;1;2012
closed;1;
operating;1;2004
operating;1;2011
closed;1;2012
acquired;2;
operating;1;2008
acquired;1;
operating;1;2006
operating;1;2009
operating;3;2003
operating;2;2012
operating;1;2008
operating;1;
operating;1;2008
operating;2;2010
operating;3;
operating;1;2009
operating;4;
operating;1;2011
operating;2;
operating;1;2008
operating;1;2010
operating;2;2011
acquired;1;1998
operating;4;2010
operating;1;2004
operating;1;2011
operating;1;2013
operating;1;2007
operating;1;
operating;1;2011
operating;2;2004
operating;6;2008
operating;1;2012
acquired;1;
closed;1;
acquired;1;1984
operating;1;2012
operating;4;2007
operating;1;2013
operating;1;2013
operating;1;2013
operating;1;2012
operating;1;2010
operating;5;2007
operating;1;2007
operating;1;1998
operating;1;2000
operating;2;2005
operating;1;2008
operating;1;2010
operating;2;2007
operating;1;
operating;1;2000
operating;1;2012
operating;1;2013
operating;1;
operating;1;2009
operating;2;2011
operating;1;2006
operating;2;2008
operating;1;
operating;2;1999
operating;1;2014
operating;1;2013
operating;1;2010
operating;2;
operating;2;2011
operating;1;2013
operating;1;2008
closed;2;2010
operating;2;2005
operating;1;2010
operating;1;2013
operating;1;2013
operating;2;
operating;1;
closed;2;2011
operating;2;2013
operating;2;2011
operating;1;2014
operating;2;2013
operating;3;2009
operating;3;2010
operating;3;1986
operating;1;2009
operating;1;2012
operating;1;2009
operating;1;1997
operating;1;2012
operating;1;
operating;1;2013
operating;2;2011
operating;1;
operating;1;2014
operating;1;2001
operating;1;
operating;2;
operating;2;2006
operating;1;
operating;1;2009
operating;1;2013
operating;2;2009
operating;1;2003
operating;2;2005
closed;3;2006
operating;1;2005
operating;1;2007
acquired;3;2004
acquired;1;2010
;1;2014
operating;1;
operating;2;
operating;4;2006
operating;3;2007
operating;1;
operating;1;2008
operating;1;
operating;2;2010
operating;1;
operating;1;2005
operating;2;2007
operating;3;2011
operating;1;2008
operating;1;2012
operating;1;
operating;1;2007
operating;1;2013
acquired;3;1999
closed;1;2003
operating;1;2004
operating;6;2002
operating;2;2007
operating;1;
operating;1;
operating;1;2013
operating;5;2009
operating;1;
operating;2;1997
operating;1;2014
operating;3;2008
operating;1;2010
acquired;4;2004
operating;2;2013
operating;1;2004
operating;4;2011
operating;2;2011
acquired;1;
operating;1;2004
operating;2;
operating;3;2011
operating;1;2014
operating;1;1991
operating;1;
closed;1;2006
operating;1;2011
operating;1;2005
operating;2;
operating;1;2005
operating;1;
acquired;6;2006
operating;8;2004
operating;1;2012
operating;1;
operating;4;2005
operating;1;2011
operating;1;2012
operating;1;2011
operating;4;2010
operating;1;2007
operating;1;2013
operating;1;2012
operating;1;2004
operating;1;
operating;1;
operating;2;2012
operating;2;2013
operating;1;2013
operating;1;2011
operating;1;
operating;1;2012
operating;1;
acquired;6;2010
operating;1;2014
operating;2;2009
operating;1;
closed;1;
operating;1;2007
operating;3;2005
operating;1;2009
operating;3;2002
operating;1;2012
operating;2;
operating;2;
operating;2;2001
operating;2;2006
operating;1;
operating;1;2010
operating;4;2011
operating;2;2007
operating;1;
operating;1;2003
operating;1;2009
operating;1;2011
operating;2;2010
acquired;2;2005
operating;6;2005
operating;1;
operating;1;2011
operating;2;2008
acquired;1;2012
operating;1;2007
operating;2;
operating;1;
acquired;3;2007
operating;1;2011
operating;1;2009
operating;1;2006
acquired;2;2013
operating;1;
operating;1;2012
operating;1;2008
operating;1;2009
acquired;4;2009
acquired;3;2009
operating;1;2010
operating;3;2013
operating;1;
operating;1;
operating;1;2009
operating;5;2008
operating;1;2009
operating;2;2013
operating;3;
operating;3;2011
operating;2;2013
operating;1;2013
operating;1;
acquired;2;2004
operating;1;2013
operating;2;2008
operating;5;2010
closed;3;2006
operating;2;2013
operating;1;
operating;1;1997
operating;1;
operating;1;
operating;5;2011
operating;1;2012
operating;1;2011
operating;1;
closed;1;2010
operating;1;2011
operating;1;2012
operating;5;2009
operating;1;2011
acquired;4;2004
operating;1;2006
operating;1;2003
operating;2;2013
operating;3;2008
operating;4;2006
operating;2;2009
operating;2;2013
operating;3;2012
operating;1;
closed;1;
operating;3;2004
operating;1;2012
operating;1;2006
operating;3;
operating;1;2011
operating;2;2012
operating;1;
operating;1;2012
operating;1;
closed;1;2008
operating;2;2013
closed;2;
operating;1;2012
operating;1;2012
operating;1;2014
closed;2;
operating;1;
operating;2;2014
operating;1;2013
acquired;3;2008
operating;2;2008
operating;1;2011
operating;1;2011
acquired;1;1987
operating;2;2013
operating;3;2012
operating;2;2011
operating;1;2013
operating;1;
operating;1;
acquired;1;2010
operating;1;2013
operating;1;
operating;1;
operating;1;
operating;3;
operating;1;2010
;1;2011
operating;1;
operating;4;2005
operating;2;
operating;1;2008
operating;2;2010
operating;1;
operating;1;2012
operating;1;2012
operating;1;2009
operating;3;2011
closed;1;2005
closed;2;2009
acquired;1;2012
operating;2;2005
closed;1;2011
operating;1;2011
operating;3;2011
operating;2;2008
operating;2;2011
operating;1;2013
operating;2;1999
operating;2;2010
operating;1;2002
operating;2;2011
operating;1;
operating;2;2014
operating;1;2011
operating;1;2013
operating;1;2013
operating;1;2008
operating;1;2004
;2;2009
operating;1;
operating;1;
operating;1;2008
operating;1;
operating;1;2011
operating;2;2005
operating;1;
operating;1;2000
operating;1;
closed;1;2011
operating;1;2011
operating;1;
operating;1;
operating;1;2006
operating;2;
operating;1;2013
acquired;1;1989
operating;1;
acquired;1;
;1;2003
operating;1;2012
operating;1;
operating;1;
operating;1;2012
operating;1;1984
operating;2;
operating;2;
operating;1;2012
operating;4;2004
operating;8;2001
;1;
operating;1;
operating;1;
operating;2;2000
operating;2;
operating;1;
operating;1;1979
operating;1;2000
closed;1;2008
acquired;2;2007
operating;3;2010
operating;1;2008
operating;1;2006
operating;1;1989
operating;2;2010
operating;1;2009
operating;1;
operating;1;
operating;1;2010
operating;1;
operating;1;2011
operating;1;2014
operating;1;2007
operating;1;2012
acquired;1;2000
operating;1;1977
operating;1;2013
operating;1;
operating;6;2006
operating;1;2013
operating;1;2011
operating;3;2011
acquired;1;2001
operating;1;1999
operating;2;1997
operating;1;1988
operating;1;2006
operating;1;2009
operating;5;2012
operating;2;1991
operating;1;2004
closed;1;2007
operating;2;1998
operating;1;2010
operating;1;2010
operating;1;2001
operating;1;
operating;5;2009
operating;1;2013
operating;1;2012
operating;1;
operating;2;2013
operating;1;2010
operating;3;2000
operating;1;2011
operating;1;2010
operating;1;2009
operating;4;2000
operating;2;2008
operating;1;2014
operating;1;2008
operating;2;2008
operating;1;2012
operating;1;2010
operating;8;2006
operating;4;2010
operating;1;1998
operating;1;
operating;1;
operating;1;2009
operating;5;2011
operating;1;
operating;1;
operating;5;2005
operating;1;2007
operating;1;2009
operating;1;2008
operating;3;2001
operating;1;1979
operating;3;2011
operating;1;1993
operating;2;2007
operating;3;2013
operating;1;2011
operating;5;2010
operating;1;2012
operating;3;2006
operating;1;2002
operating;1;1999
operating;1;2008
operating;3;2010
operating;1;2012
operating;1;
operating;1;2007
operating;1;2009
operating;1;2013
operating;3;2009
operating;2;2008
operating;1;2007
operating;1;
operating;1;
operating;1;2012
operating;1;
operating;1;2007
operating;10;2006
operating;1;2009
operating;1;2009
operating;1;2009
operating;1;2002
operating;3;
operating;1;2003
operating;1;2012
operating;2;2009
operating;1;2012
operating;1;2010
operating;2;2006
operating;2;1992
operating;1;2003
operating;1;2005
operating;4;2008
acquired;1;2008
operating;1;1972
operating;1;
operating;1;2004
operating;1;2011
operating;1;2011
operating;2;
operating;1;2009
operating;3;2004
operating;1;1990
operating;2;2012
operating;1;2009
operating;1;1997
operating;3;
operating;1;2002
operating;3;2004
operating;1;2004
operating;2;2012
operating;2;1999
operating;1;2005
operating;1;
operating;1;
operating;1;
;1;
operating;1;2009
operating;4;2004
operating;1;2009
operating;2;1997
closed;1;
operating;2;2011
operating;1;
operating;1;
operating;3;2005
operating;6;2004
closed;7;2008
operating;3;2001
operating;1;2004
operating;2;1999
operating;2;2006
;1;2013
operating;2;2007
acquired;1;2009
operating;1;2002
operating;1;2010
operating;2;
operating;1;2012
operating;2;2002
operating;1;2007
acquired;1;1997
acquired;4;2002
operating;3;2011
operating;5;2001
acquired;3;2007
operating;1;2014
acquired;3;2002
operating;1;
operating;2;
operating;1;2007
operating;1;1997
operating;2;2010
operating;2;2008
acquired;1;1999
;2;
operating;1;2008
operating;1;2011
acquired;6;2004
operating;1;
operating;1;
operating;1;
operating;2;1987
operating;1;2012
operating;1;2012
operating;2;2003
operating;2;1961
operating;1;1994
operating;1;1994
operating;4;2002
acquired;1;1997
operating;2;2012
operating;1;1947
operating;3;1994
operating;4;2007
operating;1;2000
operating;2;2013
;1;2013
operating;1;2008
acquired;1;
operating;2;2013
operating;2;2009
operating;4;2003
operating;2;
closed;1;2010
operating;2;1995
operating;1;2000
operating;1;2001
operating;3;2010
operating;1;1992
operating;1;2011
operating;1;1994
acquired;9;1996
operating;4;2005
operating;1;1996
operating;1;2008
operating;1;2008
operating;2;
acquired;1;
operating;1;2001
operating;3;
operating;2;2005
operating;1;1998
operating;8;
operating;1;2011
operating;1;
operating;1;2011
operating;1;
acquired;4;2002
operating;2;2006
operating;3;2006
operating;1;2011
operating;1;2010
operating;5;2007
operating;1;2010
operating;1;1983
operating;1;
operating;1;1999
operating;5;
operating;1;2014
closed;1;
operating;1;1976
operating;1;2013
closed;1;2000
operating;2;2011
operating;2;2011
operating;1;2006
operating;1;2013
operating;1;
operating;6;2008
acquired;1;1999
operating;1;2009
operating;3;2004
operating;3;2004
operating;1;
operating;1;
operating;3;2010
operating;1;
operating;1;2008
operating;1;2000
operating;1;2013
operating;3;2010
operating;1;2012
operating;4;1995
operating;1;
operating;1;1990
operating;1;1998
operating;5;2004
operating;1;2011
operating;1;2003
;2;
operating;1;1992
operating;1;2013
operating;2;
operating;1;1993
operating;1;
acquired;1;
